"COD_VAR";"LIB_VAR";"COD_MOD";"LIB_MOD"
"ACTIVITY";"Activité économique";"50.4";"Transports fluviaux de fret"
"ACTIVITY";"Activité économique";"M702";"Conseil de gestion"
"ACTIVITY";"Activité économique";"R";"Arts, spectacles et activités récréatives"
"ACTIVITY";"Activité économique";"L";"Activités immobilières"
"ACTIVITY";"Activité économique";"S";"Autres activités de services"
"ACTIVITY";"Activité économique";"H49";"Transports terrestres et transport par conduites"
"ACTIVITY";"Activité économique";"HTNXK_R_SX94";"Services (à l’exception du commerce ; des activités financières et d'assurance ; des activités des organisations associatives)"
"ACTIVITY";"Activité économique";"N";"Activités de services administratifs et de soutien"
"ACTIVITY";"Activité économique";"52.29";"Autres services auxiliaires des transports"
"ACTIVITY";"Activité économique";"20.52";"Fabrication de colles"
"ACTIVITY";"Activité économique";"51.2";"Transports aériens de fret et transports spatiaux"
"ACTIVITY";"Activité économique";"22.29";"Fabrication d'autres articles en matières plastiques"
"ACTIVITY";"Activité économique";"49.5";"Transports par conduites"
"ACTIVITY";"Activité économique";"29.20";"Fabrication de carrosseries et remorques"
"ACTIVITY";"Activité économique";"G467";"Autres commerces de gros spécialisés"
"ACTIVITY";"Activité économique";"28.99A";"Fabrication de machines d'imprimerie"
"ACTIVITY";"Activité économique";"H50";"Transports par eau"
"ACTIVITY";"Activité économique";"M69";"Activités juridiques et comptables"
"ACTIVITY";"Activité économique";"77.33Z";"Location et location-bail de machines de bureau et de matériel informatique"
"ACTIVITY";"Activité économique";"52.1";"Entreposage et stockage"
"ACTIVITY";"Activité économique";"79.90";"Autres services de réservation et activités connexes"
"ACTIVITY";"Activité économique";"61.9";"Autres activités de télécommunication"
"ACTIVITY";"Activité économique";"52.24";"Manutention"
"ACTIVITY";"Activité économique";"A38_CF";"Industrie pharmaceutique"
"ACTIVITY";"Activité économique";"13.93Z";"Fabrication de tapis et moquettes"
"ACTIVITY";"Activité économique";"58.12";"Édition de répertoires et de fichiers d'adresses"
"ACTIVITY";"Activité économique";"51.21Z";"Transports aériens de fret"
"ACTIVITY";"Activité économique";"95.25";"Réparation d'articles d'horlogerie et de bijouterie"
"ACTIVITY";"Activité économique";"49.4";"Transports routiers de fret et services de déménagement"
"ACTIVITY";"Activité économique";"50.2";"Transports maritimes et côtiers de fret"
"ACTIVITY";"Activité économique";"50.20Z";"Transports maritimes et côtiers de fret"
"ACTIVITY";"Activité économique";"49.42";"Services de déménagement"
"ACTIVITY";"Activité économique";"J62";"Programmation, conseil et autres activités informatiques"
"ACTIVITY";"Activité économique";"J61";"Télécommunications"
"ACTIVITY";"Activité économique";"G466";"Commerce de gros d'autres équipements industriels"
"ACTIVITY";"Activité économique";"43.2";"Travaux d'installation électrique, plomberie et autres travaux d'installation"
"ACTIVITY";"Activité économique";"51.10";"Transports aériens de passagers"
"ACTIVITY";"Activité économique";"96.04";"Entretien corporel"
"ACTIVITY";"Activité économique";"M_STS";"Activités spécialisées, scientifiques et techniques (tel que demandé par le règlement STS)"
"ACTIVITY";"Activité économique";"HTNXK";"Services (à l’exception du commerce ; des activités financières et d'assurance)"
"ACTIVITY";"Activité économique";"50.20";"Transports maritimes et côtiers de fret"
"ACTIVITY";"Activité économique";"J";"Information et communication"
"ACTIVITY";"Activité économique";"24.42";"Métallurgie de l'aluminium"
"ACTIVITY";"Activité économique";"59.13";"Distribution de films cinématographiques, de vidéo et de programmes de télévision"
"ACTIVITY";"Activité économique";"11.02B";"Vinification"
"ACTIVITY";"Activité économique";"J60";"Programmation et diffusion"
"ACTIVITY";"Activité économique";"51.1";"Transports aériens de passagers"
"ACTIVITY";"Activité économique";"C29";"Industrie automobile"
"ACTIVITY";"Activité économique";"29.32Z";"Fabrication d'autres équipements automobiles"
"ACTIVITY";"Activité économique";"G464";"Commerce de gros de biens domestiques"
"ACTIVITY";"Activité économique";"26.4";"Fabrication de produits électroniques grand public"
"ACTIVITY";"Activité économique";"23.3";"Fabrication de matériaux de construction en terre cuite"
"ACTIVITY";"Activité économique";"49.41";"Transports routiers de fret"
"ACTIVITY";"Activité économique";"J59";"Production de films cinématographiques, de vidéo et de programmes de télévision ; enregistrement sonore et édition musicale"
"ACTIVITY";"Activité économique";"N82";"Activités administratives et autres activités de soutien aux entreprises"
"ACTIVITY";"Activité économique";"52.23";"Services auxiliaires des transports aériens"
"ACTIVITY";"Activité économique";"20.14Z";"Fabrication d'autres produits chimiques organiques de base"
"ACTIVITY";"Activité économique";"46.37";"Commerce de gros de café, thé, cacao et épices"
"ACTIVITY";"Activité économique";"46.35";"Commerce de gros de produits à base de tabac"
"ACTIVITY";"Activité économique";"C30";"Fabrication d'autres matériels de transport"
"ACTIVITY";"Activité économique";"20.59Z";"Fabrication d'autres produits chimiques n.c.a."
"ACTIVITY";"Activité économique";"29.10Z";"Construction de véhicules automobiles"
"ACTIVITY";"Activité économique";"20.13";"Fabrication d'autres produits chimiques inorganiques de base"
"ACTIVITY";"Activité économique";"50.40";"Transports fluviaux de fret"
"ACTIVITY";"Activité économique";"15.12Z";"Fabrication d'articles de voyage, de maroquinerie et de sellerie"
"ACTIVITY";"Activité économique";"H";"Transports et entreposage"
"ACTIVITY";"Activité économique";"43.32C";"Agencement de lieux de vente"
"ACTIVITY";"Activité économique";"38.32Z";"Récupération de déchets triés"
"ACTIVITY";"Activité économique";"42.91";"Construction d'ouvrages maritimes et fluviaux"
"ACTIVITY";"Activité économique";"A38_CG";"Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits minéraux non métalliques"
"ACTIVITY";"Activité économique";"J58";"Édition"
"ACTIVITY";"Activité économique";"I";"Hébergement et restauration"
"ACTIVITY";"Activité économique";"38.21Z";"Traitement et élimination des déchets non dangereux"
"ACTIVITY";"Activité économique";"G463";"Commerce de gros de produits alimentaires, de boissons et de tabac"
"ACTIVITY";"Activité économique";"N81";"Services relatifs aux bâtiments et aménagement paysager"
"ACTIVITY";"Activité économique";"46.37Z";"Commerce de gros (commerce interentreprises) de café, thé, cacao et épices"
"ACTIVITY";"Activité économique";"46.35Z";"Commerce de gros (commerce interentreprises) de produits à base de tabac"
"ACTIVITY";"Activité économique";"47.11E";"Magasins multi-commerces"
"ACTIVITY";"Activité économique";"A88_35";"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
"ACTIVITY";"Activité économique";"10.11";"Transformation et conservation de la viande de boucherie"
"ACTIVITY";"Activité économique";"52.22";"Services auxiliaires des transports par eau"
"ACTIVITY";"Activité économique";"I56";"Restauration"
"ACTIVITY";"Activité économique";"49.39";"Autres transports terrestres de voyageurs n.c.a."
"ACTIVITY";"Activité économique";"31.03";"Fabrication de matelas"
"ACTIVITY";"Activité économique";"N80";"Enquêtes et sécurité"
"ACTIVITY";"Activité économique";"50.30";"Transports fluviaux de passagers"
"ACTIVITY";"Activité économique";"G462";"Commerce de gros de produits agricoles bruts et d'animaux vivants"
"ACTIVITY";"Activité économique";"52.21";"Services auxiliaires des transports terrestres"
"ACTIVITY";"Activité économique";"25.73";"Fabrication d'outillage"
